Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D273,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,139.217166,-284.374338,0,top
D274,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,138.077166,-280.724338,0,top
D275,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,137.252166,-274.944338,0,top
D276,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,142.487166,-271.474338,0,top
D277,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,150.847166,-275.544338,0,top
D278,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,161.187166,-283.724338,180,top
D279,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,163.382166,-290.504338,180,top
D280,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,165.397166,-294.714338,180,top
D281,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,166.772166,-297.414338,180,top
D282,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,168.517166,-299.974338,180,top
D283,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,171.647166,-302.114338,180,top
D284,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,173.257166,-304.724338,180,top
D285,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,177.567166,-309.164338,180,top
D286,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,181.582166,-313.284338,180,top
D287,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,186.687166,-318.064338,180,top
D288,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,190.827166,-322.874338,180,top
D289,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,193.307166,-325.534338,180,top
D290,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,195.797166,-328.094338,180,top
D291,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,196.872166,-331.444338,180,top
D292,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,194.867166,-335.054338,0,top
D293,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,188.437166,-339.404338,0,top
D294,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,184.932166,-342.074338,0,top
D295,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,183.257166,-334.144338,0,top
D296,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,181.192166,-331.554338,0,top
D297,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,175.157166,-326.154338,0,top
D298,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,171.777166,-323.074338,0,top
D299,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,168.652166,-321.144338,0,top
