Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D68,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,115.397166,-74.194338,0,top
D69,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,115.152166,-78.824338,0,top
D70,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,114.822166,-88.384338,0,top
D71,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,114.722166,-97.024338,0,top
D72,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,114.932166,-103.334338,180,top
D73,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,99.842166,-74.004338,0,top
D74,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,99.852166,-77.604338,0,top
D75,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,99.852166,-81.254338,0,top
D76,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,100.407166,-85.064338,0,top
D77,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,102.307166,-88.864338,0,top
D78,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,105.452166,-94.204338,0,top
D79,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,107.412166,-97.804338,0,top
D80,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,109.842166,-103.634338,0,top
D81,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,110.752166,-107.834338,0,top
D82,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,109.402166,-113.684338,0,top
D83,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,105.577166,-116.744338,0,top
D84,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,105.577166,-120.994338,0,top
D85,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,106.127166,-126.604338,0,top
D86,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,106.127166,-130.994338,0,top
D87,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,105.212166,-136.134338,0,top
D88,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,102.982166,-139.414338,0,top
D89,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,99.502166,-142.044338,0,top
D90,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,91.802166,-144.354338,0,top
D91,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,87.542166,-144.354338,0,top
D92,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,85.212166,-85.644338,0,top
D93,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,84.987166,-91.084338,0,top
D94,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,82.812166,-96.874338,0,top
D95,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,82.812166,-102.824338,0,top
D96,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,82.812166,-107.614338,0,top
D97,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,82.812166,-111.154338,0,top
D98,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,82.812166,-114.704338,0,top
D99,WS2812B,LED_WS2812B-2020_PLCC4_2.0x2.0mm,82.812166,-118.604338,0,top
